start_date,end_date,ndvi,soil_moisture_pct,s1_moisture,s1_vv_db,s1_vh_db,precip_mm_7d,precip_mm_30d,river_level_m,river_discharge_m3s,river_discharge_max_m3s,flood_extent_km2,temp_max_c,drought_index,data_timestamp,ndwi,soil_moisture_7d_delta,forecast_precip_24h_mm,source,week_of_year,soil_moisture_pct_z,soil_moisture_pct_seasonal,soil_moisture_pct_anomaly,soil_moisture_pct_anomaly_smooth,soil_moisture_pct_cumulative_effect,precip_mm_7d_z,precip_mm_7d_seasonal,precip_mm_7d_anomaly,precip_mm_7d_anomaly_smooth,precip_mm_7d_cumulative_effect,precip_mm_30d_z,precip_mm_30d_seasonal,precip_mm_30d_anomaly,precip_mm_30d_anomaly_smooth,precip_mm_30d_cumulative_effect,temp_max_c_z,temp_max_c_seasonal,temp_max_c_anomaly,temp_max_c_anomaly_smooth,temp_max_c_cumulative_effect,soil_moisture_7d_delta_z,soil_moisture_7d_delta_seasonal,soil_moisture_7d_delta_anomaly,soil_moisture_7d_delta_anomaly_smooth,soil_moisture_7d_delta_cumulative_effect,drought_index_z,drought_index_seasonal,drought_index_anomaly,drought_index_anomaly_smooth,drought_index_cumulative_effect,river_discharge_m3s_z,river_discharge_m3s_seasonal,river_discharge_m3s_anomaly,river_discharge_m3s_anomaly_smooth,river_discharge_m3s_cumulative_effect,river_discharge_max_m3s_z,river_discharge_max_m3s_seasonal,river_discharge_max_m3s_anomaly,river_discharge_max_m3s_anomaly_smooth,river_discharge_max_m3s_cumulative_effect,ndvi_minmax,ndvi_seasonal,ndvi_anomaly,ndwi_minmax,ndwi_seasonal,ndwi_anomaly,s1_moisture_minmax,s1_moisture_seasonal,s1_moisture_anomaly,s1_vv_db_minmax,s1_vv_db_seasonal,s1_vv_db_anomaly,s1_vh_db_minmax,s1_vh_db_seasonal,s1_vh_db_anomaly,flood_extent_km2_minmax,flood_extent_km2_seasonal,flood_extent_km2_anomaly
2021-04-26,2021-05-10,0.5079,17.1,0.729,-6.7349,-13.3419,1.0,53.5,,,,0.0,26.1,0.179,2021-05-10T23:59:59Z,-0.4712,-4.5,0.0,Sentinel Hub Statistical API + OpenMeteo,19,-0.9342,23.7867,-6.6867,-6.6867,-6.6867,-0.6199,11.8,-10.8,-10.8,-10.8,0.3037,57.2867,-3.7867,-3.7867,-3.7867,0.3127,24.4,1.7,1.7,1.7,-0.527,-1.8667,-2.6333,-2.6333,-2.6333,-0.4178,0.15,0.029,0.029,0.029,,,,,,,,,,,0.7789,0.5024,0.0055,0.1917,-0.4794,0.0082,0.3012,0.7324,-0.0034,0.2851,-6.632,-0.1029,0.3615,-13.2052,-0.1367,,0.0,0.0
2021-05-10,2021-05-24,0.5845,25.5,0.7408,-6.4401,-13.0323,20.2,72.8,,,,0.0,26.5,0.095,2021-05-24T23:59:59Z,-0.5378,-6.3,0.0,Sentinel Hub Statistical API + OpenMeteo,21,0.0252,23.85,1.65,-4.6025,-10.4868,0.775,9.7286,10.4714,-5.4822,-14.9862,0.8887,54.3786,18.4214,1.7653,-1.567,0.356,25.8857,0.6143,1.4286,2.9246,-0.7897,-3.2857,-3.0143,-2.7286,-5.0459,-0.852,0.163,-0.068,0.0048,0.0303,,,,,,,,,,,0.929,0.5398,0.0447,0.0707,-0.5081,-0.0297,0.4096,0.7397,0.0011,0.3871,-6.4561,0.016,0.4768,-13.0748,0.0425,,0.0,0.0
2021-06-07,2021-06-21,0.6207,33.7,0.7569,-6.0291,-12.7057,36.3,110.8,,,,0.0,26.8,0.013,2021-06-21T23:59:59Z,-0.5767,-2.5,0.0,Sentinel Hub Statistical API + OpenMeteo,25,0.9618,22.7,11.0,-0.7019,-9.9303,1.9447,11.6929,24.6071,2.0402,-11.1477,2.0406,63.0429,47.7571,13.2633,11.8843,0.3885,30.3929,-3.5929,0.1732,2.7468,-0.235,-2.7214,0.2214,-1.9911,-6.4315,-1.2758,0.1842,-0.1712,-0.0392,-0.0125,,,,,,,,,,,1.0,0.5667,0.054,0.0,-0.5419,-0.0348,0.5574,0.7487,0.0082,0.5294,-6.2301,0.201,0.5986,-12.7867,0.081,,0.0,0.0
2021-06-21,2021-07-05,0.5811,15.8,0.7484,-6.2457,-12.6445,6.9,61.8,,,,0.0,34.2,0.192,2021-07-05T23:59:59Z,-0.5556,-6.2,0.0,Sentinel Hub Statistical API + OpenMeteo,27,-1.0827,18.8733,-3.0733,-1.2947,-10.0333,-0.1913,9.0733,-2.1733,0.9868,-8.8231,0.5553,47.32,14.48,13.5675,24.0257,1.1891,32.48,1.72,0.5599,2.9771,-0.7751,-1.54,-4.66,-2.6583,-8.318,-0.3506,0.2958,-0.1038,-0.0554,-0.0664,,,,,,,,,,,0.9224,0.5436,0.0375,0.0383,-0.5285,-0.0271,0.4793,0.7412,0.0072,0.4544,-6.4179,0.1722,0.6214,-12.9103,0.2658,,0.0,0.0
2021-07-05,2021-07-19,0.5323,18.3,0.7421,-6.4015,-12.7904,3.6,16.8,,,,0.0,34.0,0.428,2021-07-19T23:59:59Z,-0.5233,2.7,0.0,Sentinel Hub Statistical API + OpenMeteo,29,-0.7971,15.8,2.5,-0.3461,-9.1754,-0.431,2.3267,1.2733,1.0584,-6.706,-0.8087,24.86,-8.06,8.1606,29.3032,1.1674,35.3333,-1.3333,0.0866,2.7065,0.5241,-1.8733,4.5733,-0.8504,-8.1703,0.8691,0.4321,-0.0041,-0.0426,-0.101,,,,,,,,,,,0.8267,0.5051,0.0272,0.0971,-0.503,-0.0203,0.4215,0.7351,0.007,0.4005,-6.5677,0.1662,0.567,-13.0008,0.2104,,0.0,0.0
2021-07-19,2021-08-02,0.5007,14.7,0.7391,-6.4727,-12.8945,0.4,6.0,,,,0.0,37.7,0.586,2021-08-02T23:59:59Z,-0.5079,-2.4,0.0,Sentinel Hub Statistical API + OpenMeteo,31,-1.2083,15.0333,-0.3333,-0.3429,-8.4173,-0.6635,1.8867,-1.4867,0.4221,-5.4791,-1.1361,15.2533,-9.2533,3.8071,29.5939,1.5677,35.6467,2.0533,0.5783,2.96,-0.2204,-1.6733,-0.7267,-0.8195,-8.0093,1.6858,0.4828,0.1032,-0.0061,-0.095,,,,,,,,,,,0.7648,0.4779,0.0228,0.125,-0.4858,-0.0221,0.3939,0.7307,0.0084,0.3758,-6.6793,0.2066,0.5282,-13.1057,0.2112,,0.0,0.0
2021-08-02,2021-08-16,0.4786,14.8,0.7323,-6.658,-13.1231,0.4,14.0,,,,0.0,34.6,0.494,2021-08-16T23:59:59Z,-0.4955,-1.1,0.0,Sentinel Hub Statistical API + OpenMeteo,33,-1.1969,16.7,-1.9,-0.7322,-8.1394,-0.6635,4.0533,-3.6533,-0.5967,-5.4183,-0.8936,17.78,-3.78,1.9103,27.953,1.2323,35.2133,-0.6133,0.2804,2.8852,-0.0307,-0.2067,-0.8933,-0.8379,-7.8861,1.2103,0.4446,0.0494,0.0078,-0.0758,,,,,,,,,,,0.7214,0.4523,0.0263,0.1476,-0.4689,-0.0266,0.3315,0.7296,0.0027,0.3117,-6.7083,0.0503,0.443,-13.136,0.0129,,0.0,0.0
2021-08-16,2021-08-30,0.4637,25.6,0.7229,-6.8914,-13.4933,18.0,29.9,,,,0.0,32.0,0.208,2021-08-30T23:59:59Z,-0.486,10.6,0.0,Sentinel Hub Statistical API + OpenMeteo,35,0.0366,17.58,8.02,1.4559,-5.7068,0.6152,4.4467,13.5533,2.9408,-1.8273,-0.4116,24.7733,5.1267,2.7144,27.313,0.9511,32.9,-0.9,-0.0147,2.5243,1.6773,-2.6067,13.2067,2.6732,-4.2666,-0.2679,0.3904,-0.1824,-0.0398,-0.1065,,,,,,,,,,,0.6922,0.4337,0.03,0.1648,-0.4524,-0.0336,0.2452,0.7261,-0.0032,0.2309,-6.7985,-0.0929,0.305,-13.2493,-0.244,,0.0,0.0
2021-08-30,2021-09-13,0.457,16.2,0.7179,-7.0099,-13.4459,0.0,20.6,,,,0.0,28.1,0.406,2021-09-13T23:59:59Z,-0.4748,-0.2,0.0,Sentinel Hub Statistical API + OpenMeteo,37,-1.037,17.4267,-1.2267,0.7852,-4.2368,-0.6926,3.9667,-3.9667,1.2139,-0.3942,-0.6935,29.0267,-8.4267,-0.0709,23.9646,0.5291,31.0733,-2.9733,-0.7544,1.467,0.1007,-3.7467,3.5467,2.8916,-0.863,0.7554,0.3593,0.0467,-0.0182,-0.1119,,,,,,,,,,,0.6791,0.4221,0.0349,0.1852,-0.4431,-0.0317,0.1993,0.7227,-0.0048,0.1899,-6.8817,-0.1282,0.3227,-13.3588,-0.0871,,0.0,0.0
2021-09-13,2021-09-27,0.4401,16.1,0.713,-7.1401,-13.5907,0.5,7.9,,,,0.0,27.1,0.555,2021-09-27T23:59:59Z,-0.4693,-4.1,0.0,Sentinel Hub Statistical API + OpenMeteo,39,-1.0484,20.6,-4.5,-0.5361,-4.2645,-0.6562,8.58,-8.08,-1.1096,-1.4565,-1.0785,34.98,-27.08,-6.8231,14.2657,0.4209,27.6467,-0.5467,-0.7024,0.5885,-0.4686,-1.9267,-2.1733,1.6254,0.866,1.5255,0.3076,0.2474,0.0482,-0.0503,,,,,,,,,,,0.646,0.4206,0.0195,0.1952,-0.4454,-0.0239,0.1543,0.7223,-0.0093,0.1448,-6.8853,-0.2548,0.2687,-13.41,-0.1807,,0.0,0.0
