aoi_name,date_start,date_end,target_date,item_id,asset_key,valid_pixels,flood_pixels,aoi_area_km2,gfm_flooded_area_km2,gfm_flood_fraction,flood_detected,flood_label_binary,flood_label_3tier,binary_threshold_km2,tier_minor_km2,tier_significant_km2,source,gfm_items,gfm_items_used,gfm_asset_keys,errors
pleven_small,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T161654_VV_EU020M_E057N009T3,tuw_flood_extent,57050,467,24.9819,0.1868,0.007477,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
pleven_levski,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T161654_VV_EU020M_E057N009T3,tuw_flood_extent,3428787,7584,1617.3999,3.0336,0.001876,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
danube_belene_svishtov,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T161654_VV_EU020M_E057N009T3,tuw_flood_extent,1887412,8579,895.9858,3.4316,0.00383,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
pleven_small,2026-03-29,2026-04-03,2026-04-03,ENSEMBLE_FLOOD_20260401T161543_VV_EU020M_E057N009T3,tuw_flood_extent,58291,256,24.9819,0.1024,0.004099,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,17,17,tuw_flood_extent,
pleven_small,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T161654_VV_EU020M_E057N009T3,tuw_flood_extent,57050,467,24.9819,0.1868,0.007477,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
pleven_levski,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T161654_VV_EU020M_E057N009T3,tuw_flood_extent,3428787,7584,1617.3999,3.0336,0.001876,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
danube_belene_svishtov,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T161654_VV_EU020M_E057N009T3,tuw_flood_extent,1887412,8579,895.9858,3.4316,0.00383,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
danube_ruse_slivo_pole,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T042110_VV_EU020M_E060N009T3,tuw_flood_extent,1550702,6982,802.7341,2.7928,0.003479,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,36,36,"list_flood_extent,tuw_flood_extent",
danube_vidin_lom,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T161654_VV_EU020M_E057N009T3,tuw_flood_extent,3641401,168311,3013.9774,67.3244,0.022337,1,1,1,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
danube_kozloduy_oriahovo,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T161654_VV_EU020M_E057N009T3,tuw_flood_extent,3641853,112033,2505.6543,44.8132,0.017885,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
danube_nikopol,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260331T042912_VV_EU020M_E057N009T3,tuw_flood_extent,1910505,11550,940.3986,4.62,0.004913,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
dobrich_dobrudzha,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T042110_VV_EU020M_E060N009T3,tuw_flood_extent,1561497,20635,1795.6435,8.254,0.004597,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
silistra_dobrudzha,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260327T160758_VV_EU020M_E060N009T3,list_flood_extent,3047009,7048,1225.8887,2.8192,0.0023,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
shumen_targovishte,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T042110_VV_EU020M_E060N009T3,tuw_flood_extent,6676332,15804,3605.9195,6.3216,0.001753,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
varna_coast,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T042110_VV_EU020M_E060N009T3,tuw_flood_extent,856937,11123,1623.9879,4.4492,0.00274,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
burgas_coast,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T042110_VV_EU020M_E060N009T3,tuw_flood_extent,1636622,37246,3195.7946,14.8984,0.004662,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
kamchia_river,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260327T160733_VV_EU020M_E060N009T3,tuw_flood_extent,2626495,8862,1904.5852,3.5448,0.001861,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
sofia_plain_iskar,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T161654_VV_EU020M_E057N009T3,tuw_flood_extent,2656037,51882,2182.7518,20.7528,0.009508,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
iskar_gorge,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260330T043835_VV_EU020M_E057N009T3,tuw_flood_extent,2404849,16342,2034.0846,6.5368,0.003214,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
yantra_veliko_tarnovo,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T042110_VV_EU020M_E057N009T3,tuw_flood_extent,4027049,17256,2055.0263,6.9024,0.003359,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,36,36,"list_flood_extent,tuw_flood_extent",
osam_lovech,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T161654_VV_EU020M_E057N009T3,tuw_flood_extent,4068618,9456,1898.4788,3.7824,0.001992,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
vit_pleven,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T161654_VV_EU020M_E057N009T3,tuw_flood_extent,4184789,20083,2048.379,8.0332,0.003922,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
maritsa_plovdiv,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260331T042937_VV_EU020M_E057N009T3,tuw_flood_extent,1420126,32789,734.4868,13.1156,0.017857,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
maritsa_pazardzhik,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T161629_VV_EU020M_E057N009T3,tuw_flood_extent,2198865,20766,1238.4802,8.3064,0.006707,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
maritsa_harmanli_svilengrad,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T042135_VV_EU020M_E060N006T3,tuw_flood_extent,1810814,32178,1382.5063,12.8712,0.00931,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,74,74,"list_flood_extent,tuw_flood_extent",
tundzha_yambol_elhovo,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T042135_VV_EU020M_E060N009T3,tuw_flood_extent,5723463,117776,3785.6972,47.1104,0.012444,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,37,37,"list_flood_extent,tuw_flood_extent",
arda_kardzhali,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T042135_VV_EU020M_E057N006T3,tuw_flood_extent,3138118,5939,1942.2094,2.3756,0.001223,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,19,19,tuw_flood_extent,
struma_blago_county,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260331T162440_VV_EU020M_E057N006T3,tuw_flood_extent,1807979,4864,2760.7343,1.9456,0.000705,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,37,37,"list_flood_extent,tuw_flood_extent",
mesta_gotse_delchev,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T161629_VV_EU020M_E057N006T3,tuw_flood_extent,3108227,9247,2499.0337,3.6988,0.00148,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,19,19,tuw_flood_extent,
stara_zagora_chirpan,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T042135_VV_EU020M_E057N009T3,tuw_flood_extent,3032741,71811,1513.6966,28.7244,0.018976,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
haskovo_dimitrovgrad,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T042135_VV_EU020M_E057N009T3,tuw_flood_extent,1820503,49036,1609.809,19.6144,0.012184,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,37,37,"list_flood_extent,tuw_flood_extent",
sliven_nova_zagora,2026-03-26,2026-03-31,2026-03-31,ENSEMBLE_FLOOD_20260326T042135_VV_EU020M_E060N009T3,tuw_flood_extent,2032196,124197,2737.0942,49.6788,0.01815,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,18,18,"list_flood_extent,tuw_flood_extent",
pleven_small,2026-03-29,2026-04-03,2026-04-03,ENSEMBLE_FLOOD_20260401T161543_VV_EU020M_E057N009T3,tuw_flood_extent,58291,256,24.9819,0.1024,0.004099,0,0,0,0.5,0.5,5.0,GFM_STAC:GFM,17,17,tuw_flood_extent,
