chunk_start,chunk_end,status,error
2026-03-26,2026-04-24,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2026-03-26', '--end', '2026-04-24', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2026-02-24,2026-03-25,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2026-02-24', '--end', '2026-03-25', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2026-01-25,2026-02-23,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2026-01-25', '--end', '2026-02-23', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2025-12-26,2026-01-24,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2025-12-26', '--end', '2026-01-24', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2025-11-26,2025-12-25,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2025-11-26', '--end', '2025-12-25', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2025-10-27,2025-11-25,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2025-10-27', '--end', '2025-11-25', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2025-09-27,2025-10-26,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2025-09-27', '--end', '2025-10-26', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2025-08-28,2025-09-26,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2025-08-28', '--end', '2025-09-26', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2025-07-29,2025-08-27,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2025-07-29', '--end', '2025-08-27', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
2025-06-29,2025-07-28,failed,"Command '['C:\\Users\\alexr\\hydro-twin\\backend\\.venv\\Scripts\\python.exe', '-m', 'data_science.collect_flood_labels_gfm_stac', '--aois', 'data/aois_bulgaria.json', '--start', '2025-06-29', '--end', '2025-07-28', '--window-days', '6', '--step-days', '3', '--out', 'data/labels/flood_gfm_bulgaria_2y.csv', '--resume']' returned non-zero exit status 1."
