aoi_name,target_date,flood_risk_level,flood_risk_label,drought_risk_level,drought_risk_label,threshold_flood_score,threshold_drought_score,alert_confidence,feature_date,feature_t_minus_1_ndvi,feature_t_minus_0_ndvi,feature_t_minus_1_ndwi,feature_t_minus_0_ndwi,feature_t_minus_1_s1_moisture,feature_t_minus_0_s1_moisture,feature_t_minus_1_soil_moisture_pct,feature_t_minus_0_soil_moisture_pct,feature_t_minus_1_soil_moisture_7d_delta,feature_t_minus_0_soil_moisture_7d_delta,feature_t_minus_1_precip_mm_7d,feature_t_minus_0_precip_mm_7d,feature_t_minus_1_precip_mm_30d,feature_t_minus_0_precip_mm_30d,feature_t_minus_1_forecast_precip_24h_mm,feature_t_minus_0_forecast_precip_24h_mm,feature_t_minus_1_temp_max_c,feature_t_minus_0_temp_max_c,feature_t_minus_1_drought_index,feature_t_minus_0_drought_index,feature_t_minus_1_flood_extent_km2,feature_t_minus_0_flood_extent_km2,feature_t_minus_1_week_of_year,feature_t_minus_0_week_of_year
chirpan_stara_zagora,2023-07-26,0,SAFE,3,HIGH_RISK,0.0,4.0,0.9,2023-06-26,0.6583,0.5122,-0.6192,-0.524,0.6349,0.5944,38.1,25.6,-1.8,-1.2,21.0,0.0,76.8,10.7,0.0,0.0,31.0,40.5,0.0,0.424,0.0,0.0,26.0,30
chirpan_stara_zagora,2023-08-25,0,SAFE,1,LOW_RISK,0.0,1.0,0.9,2023-07-26,0.5122,0.3828,-0.524,-0.4491,0.5944,0.5544,25.6,27.7,-1.2,-0.3,0.0,0.2,10.7,22.6,0.0,0.0,40.5,35.6,0.424,0.299,0.0,0.0,30.0,34
chirpan_stara_zagora,2023-09-24,0,SAFE,1,LOW_RISK,0.0,1.0,0.9,2023-08-25,0.3828,0.333,-0.4491,-0.4124,0.5544,0.5728,27.7,27.3,-0.3,-3.7,0.2,0.0,22.6,42.9,0.0,0.0,35.6,33.2,0.299,0.129,0.0,0.0,34.0,38
chirpan_stara_zagora,2023-10-24,0,SAFE,1,LOW_RISK,0.0,1.0,0.9,2023-09-24,0.333,0.3087,-0.4124,-0.3987,0.5728,0.5404,27.3,30.3,-3.7,-2.8,0.0,0.9,42.9,11.2,0.0,0.0,33.2,28.5,0.129,0.434,0.0,0.0,38.0,43
chirpan_stara_zagora,2023-11-23,0,SAFE,0,SAFE,0.0,0.0,0.9,2023-10-24,0.3087,0.2931,-0.3987,-0.4232,0.5404,0.5704,30.3,45.2,-2.8,6.0,0.9,10.8,11.2,40.6,0.0,0.0,28.5,16.8,0.434,0.07,0.0,0.0,43.0,47
chirpan_stara_zagora,2023-12-23,0,SAFE,0,SAFE,0.0,0.0,0.9,2023-11-23,0.2931,0.2731,-0.4232,-0.398,0.5704,0.633,45.2,47.3,6.0,-2.4,10.8,0.1,40.6,78.3,0.0,0.0,16.8,11.9,0.07,0.079,0.0,0.0,47.0,51
chirpan_stara_zagora,2024-01-31,0,SAFE,0,SAFE,0.0,0.0,0.9,2023-12-23,0.2731,0.3156,-0.398,-0.4456,0.633,0.6119,47.3,42.3,-2.4,-4.0,0.1,2.3,78.3,44.9,0.0,0.0,11.9,12.6,0.079,0.06,0.0,0.0,51.0,5
chirpan_stara_zagora,2024-03-01,0,SAFE,0,SAFE,0.0,0.0,0.9,2024-01-31,0.3156,0.384,-0.4456,-0.4674,0.6119,0.5221,42.3,38.6,-4.0,-1.2,2.3,2.0,44.9,18.1,0.0,0.0,12.6,20.6,0.06,0.276,0.0,0.0,5.0,9
chirpan_stara_zagora,2024-03-31,0,SAFE,0,SAFE,0.0,0.0,0.9,2024-03-01,0.384,0.4905,-0.4674,-0.499,0.5221,0.5194,38.6,34.8,-1.2,-6.6,2.0,7.8,18.1,87.3,0.0,0.0,20.6,26.0,0.276,0.002,0.0,0.0,9.0,13
chirpan_stara_zagora,2024-04-30,0,SAFE,0,SAFE,0.0,0.0,0.9,2024-03-31,0.4905,0.5766,-0.499,-0.5657,0.5194,0.5538,34.8,44.8,-6.6,-1.2,7.8,25.0,87.3,57.9,0.0,0.0,26.0,22.2,0.002,0.0,0.0,0.0,13.0,18
