feature,importance
feature_t_minus_1_ndvi_minmax,0.15871036
feature_t_minus_1_ndwi_minmax,0.13777606
feature_t_minus_1_temp_max_c_anomaly,0.07240435
feature_t_minus_1_s1_moisture_seasonal,0.066726334
feature_t_minus_1_ndwi,0.053593654
feature_t_minus_1_week_of_year,0.045078535
feature_t_minus_1_precip_mm_7d_anomaly,0.04463862
feature_t_minus_1_ndvi,0.035649266
feature_t_minus_1_s1_moisture_anomaly,0.032212827
feature_t_minus_1_s1_vh_db_anomaly,0.02762372
feature_t_minus_1_s1_vh_db_seasonal,0.021881597
feature_t_minus_1_s1_vv_db,0.019508284
feature_t_minus_1_soil_moisture_pct_seasonal,0.016582599
feature_t_minus_1_soil_moisture_pct_cumulative_effect,0.016240478
feature_t_minus_1_precip_mm_30d,0.014692997
feature_t_minus_1_precip_mm_30d_seasonal,0.013769338
feature_t_minus_1_ndwi_anomaly,0.013756591
feature_t_minus_1_precip_mm_7d_seasonal,0.012821935
feature_t_minus_1_soil_moisture_7d_delta_cumulative_effect,0.012437967
feature_t_minus_1_drought_index_anomaly,0.011116485
feature_t_minus_1_ndvi_anomaly,0.010942656
feature_t_minus_1_precip_mm_30d_anomaly_smooth,0.010283188
feature_t_minus_1_drought_index,0.010199744
feature_t_minus_1_temp_max_c_z,0.009930351
feature_t_minus_1_precip_mm_7d_anomaly_smooth,0.009211612
feature_t_minus_1_s1_vv_db_anomaly,0.009075471
feature_t_minus_1_temp_max_c_cumulative_effect,0.008993745
feature_t_minus_1_s1_vv_db_minmax,0.008885235
feature_t_minus_1_temp_max_c_anomaly_smooth,0.008543243
feature_t_minus_1_soil_moisture_pct,0.007963588
feature_t_minus_1_s1_vh_db,0.007514152
feature_t_minus_1_precip_mm_30d_anomaly,0.00713638
feature_t_minus_1_soil_moisture_pct_anomaly,0.0066792993
feature_t_minus_1_temp_max_c,0.006503481
feature_t_minus_1_soil_moisture_7d_delta_z,0.005743053
feature_t_minus_1_precip_mm_30d_z,0.005082571
feature_t_minus_1_soil_moisture_pct_anomaly_smooth,0.0050412836
feature_t_minus_1_temp_max_c_seasonal,0.004610575
feature_t_minus_1_precip_mm_7d,0.0041689323
feature_t_minus_1_drought_index_anomaly_smooth,0.0034590014
feature_t_minus_1_s1_moisture,0.0032752308
feature_t_minus_1_precip_mm_7d_cumulative_effect,0.0025805258
feature_t_minus_1_soil_moisture_7d_delta_anomaly_smooth,0.0025452403
feature_t_minus_1_soil_moisture_pct_z,0.0025262593
feature_t_minus_1_soil_moisture_7d_delta_seasonal,0.0024697038
feature_t_minus_1_drought_index_seasonal,0.0024417322
feature_t_minus_1_drought_index_cumulative_effect,0.0016771866
feature_t_minus_1_precip_mm_30d_cumulative_effect,0.001296746
feature_t_minus_1_soil_moisture_7d_delta_anomaly,0.0010210191
feature_t_minus_1_ndvi_seasonal,0.00093599287
feature_t_minus_1_soil_moisture_7d_delta,0.0009012379
feature_t_minus_1_precip_mm_7d_z,0.0008803522
feature_t_minus_1_ndwi_seasonal,0.000197249
feature_t_minus_1_drought_index_z,6.187822e-05
feature_t_minus_1_forecast_precip_24h_mm,0.0
feature_t_minus_1_flood_extent_km2,0.0
feature_t_minus_1_s1_moisture_minmax,0.0
feature_t_minus_1_s1_vh_db_minmax,0.0
feature_t_minus_1_s1_vv_db_seasonal,0.0
feature_t_minus_1_flood_extent_km2_seasonal,0.0
feature_t_minus_1_flood_extent_km2_anomaly,0.0
