aoi_name,start_date,end_date,ndvi,ndwi,s1_moisture,s1_vv_db,s1_vh_db,soil_moisture_pct,soil_moisture_7d_delta,precip_mm_7d,precip_mm_30d,forecast_precip_24h_mm,temp_max_c,river_level_m,flood_extent_km2,drought_index,data_timestamp,source,week_of_year,season,threshold_flood_score,threshold_drought_score,flood_risk_level,drought_risk_level,flood_risk_label,drought_risk_label,flood_watch_count,flood_warning_count,drought_watch_count,drought_warning_count,alert_confidence
pleven_small,2023-04-27,2023-05-27,0.548,-0.5157,0.8051,-4.8725,-12.2,31.7,4.7,9.7,34.7,0.0,25.5,,0.0,0.093,2023-05-27T23:59:59Z,Sentinel Hub Statistical API + OpenMeteo,21,spring,0.0,0.0,0,0,SAFE,SAFE,0,0,0,0,0.9
pleven_small,2023-05-27,2023-06-26,0.5428,-0.5204,0.7531,-6.1721,-12.5784,29.7,0.9,15.0,109.6,0.0,32.8,,0.0,0.053,2023-06-26T23:59:59Z,Sentinel Hub Statistical API + OpenMeteo,26,summer,0.0,0.0,0,0,SAFE,SAFE,0,0,0,0,0.9
pleven_small,2023-06-26,2023-07-26,0.4813,-0.4782,0.7518,-6.2058,-12.6376,15.9,1.9,9.2,17.4,0.0,40.0,,0.0,0.445,2023-07-26T23:59:59Z,Sentinel Hub Statistical API + OpenMeteo,30,summer,0.0,4.0,0,3,SAFE,HIGH_RISK,0,0,2,1,0.9
pleven_small,2023-07-26,2023-08-25,0.4422,-0.4562,0.7377,-6.5574,-12.7682,17.0,1.8,1.4,44.6,0.0,35.9,,0.0,0.183,2023-08-25T23:59:59Z,Sentinel Hub Statistical API + OpenMeteo,34,summer,0.0,2.0,0,2,SAFE,MODERATE_RISK,0,0,2,0,0.9
pleven_small,2023-08-25,2023-09-24,0.4266,-0.4482,0.7362,-6.5945,-12.9049,18.6,-5.7,0.5,25.8,0.0,33.9,,0.0,0.334,2023-09-24T23:59:59Z,Sentinel Hub Statistical API + OpenMeteo,38,autumn,0.0,2.0,0,2,SAFE,MODERATE_RISK,0,0,2,0,0.9
pleven_small,2023-09-24,2023-10-24,0.3848,-0.4353,0.7462,-6.3452,-12.8297,15.1,-0.1,0.0,0.2,0.0,32.2,,0.0,0.676,2023-10-24T23:59:59Z,Sentinel Hub Statistical API + OpenMeteo,43,autumn,0.0,4.0,0,3,SAFE,HIGH_RISK,0,0,2,1,0.9
pleven_small,2023-10-24,2023-11-23,0.3507,-0.4522,0.748,-6.3007,-12.9517,27.7,2.5,12.9,47.1,0.0,15.9,,0.0,0.117,2023-11-23T23:59:59Z,Sentinel Hub Statistical API + OpenMeteo,47,autumn,0.0,0.0,0,0,SAFE,SAFE,0,0,0,0,0.9
pleven_small,2023-11-23,2023-12-23,0.327,-0.4304,0.7627,-5.9323,-12.4635,35.8,-3.5,0.7,99.9,0.0,11.7,,0.0,0.055,2023-12-23T23:59:59Z,Sentinel Hub Statistical API + OpenMeteo,51,winter,0.0,0.0,0,0,SAFE,SAFE,0,0,0,0,0.9
pleven_small,2024-01-01,2024-01-31,0.2573,-0.1566,0.7661,-5.8483,-12.7268,33.5,-0.5,3.7,36.7,0.0,10.0,,0.0,0.138,2024-01-31T23:59:59Z,Sentinel Hub Statistical API + OpenMeteo,5,winter,0.0,0.0,0,0,SAFE,SAFE,0,0,0,0,0.9
pleven_small,2024-01-31,2024-03-01,0.3129,-0.4189,0.7462,-6.3441,-12.8571,32.0,5.7,12.1,30.7,0.0,20.5,,0.0,0.196,2024-03-01T23:59:59Z,Sentinel Hub Statistical API + OpenMeteo,9,spring,0.0,0.0,0,0,SAFE,SAFE,0,0,0,0,0.9
